Product Name,Price,Rating,No. of Reviews,Product Url
"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","? 1,550",4.0 out of 5 stars,28,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09140571WW1AROGYOWWI&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-1-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_atf
uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue),"? 1,100",4.2 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A016865923S1HPDFXMMHW&url=%2Fuppercase-Backpack-1800EBP1-repellent-sustainable%2Fdp%2FB0B9T7PD7T%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-2-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_atf
American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),? 799,4.1 out of 5 stars,"46,676",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_3?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-3
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),? 799,3.9 out of 5 stars,"12,909",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?keywords=bags&qid=1663867110&sr=8-4
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,? 899,3.9 out of 5 stars,"7,935",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_5?keywords=bags&qid=1663867110&smid=A3RXEJKPWRVCLY&sr=8-5
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",? 660,4.0 out of 5 stars,"7,044",https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_6?keywords=bags&qid=1663867110&sr=8-6
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",? 149,4.2 out of 5 stars,"4,203",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_7?keywords=bags&qid=1663867110&smid=A14CZOWI0VEHLG&sr=8-7
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),? 632,4.0 out of 5 stars,"5,355",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_8?keywords=bags&qid=1663867110&sr=8-8
Skybags Brat Black 46 Cms Casual Backpack,? 599,4.1 out of 5 stars,"2,136",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_9?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-9
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag college bags",? 699,3.9 out of 5 stars,962,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?keywords=bags&qid=1663867110&sr=8-10
AMAIZO 34 Ltrs Laptop Bag (PAL-SON1_Navy Blue),? 599,5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06895002CRZA0C1WCV5D&url=%2FAmaizo-Strong-Waterproof-College-Students%2Fdp%2FB07YRH2TBK%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-11-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_mtf
AmazonBasics 15.6-inch Laptop Sleeve - Internal Dimensions - 15 X 0.4 X 11 Inches - Purple,? 399,4.5 out of 5 stars,"1,00,415",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07988102HYZXXGX8W7CF&url=%2FAmazonBasics-15-6-inch-Laptop-Sleeve-Purple%2Fdp%2FB01EFMIIAW%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26smid%3DA14CZOWI0VEHLG%26sr%3D8-12-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_mtf
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),? 596,4.3 out of 5 stars,"7,535",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_13?keywords=bags&qid=1663867110&smid=A14CZOWI0VEHLG&sr=8-13
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",? 149,4.2 out of 5 stars,"4,203",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?keywords=bags&qid=1663867110&smid=A14CZOWI0VEHLG&sr=8-14
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",? 609,4.0 out of 5 stars,"1,191",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_15?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-15
Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,? 789,4.2 out of 5 stars,"47,181",https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_16?keywords=bags&qid=1663867110&sr=8-16
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",? 449,3.9 out of 5 stars,"9,165",https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_17?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-17
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),? 249,4.0 out of 5 stars,"10,433",https://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_18?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-18
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Navy Blue),? 632,4.0 out of 5 stars,"5,355",https://www.amazon.in/Martucci-Unisex-Waterproof-Laptop-Backpack/dp/B088B3ZVW2/ref=sr_1_19?keywords=bags&qid=1663867110&sr=8-19
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,? 999,3.9 out of 5 stars,"1,044",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_20?keywords=bags&qid=1663867110&sr=8-20
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)","? 1,400",4.2 out of 5 stars,22,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01510481XFFGFR81S748&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-21-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_btf
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)","? 1,400",4.3 out of 5 stars,47,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01515483E9RQYSQW6QWC&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-22-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_btf
"Wenger BC TOP 14 Inch Laptop Sleeve, Durable Ballistic Fabric with a Zippered Pocket in Black (4 litres)-Blend of Style & Function, Swiss Designed, 606460","? 1,940",4.8 out of 5 stars,9,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A030944134SUV8C6SJUSK&url=%2FWenger-Black-Laptop-Sleeve-606460%2Fdp%2FB07QCD3F1N%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-17-spons%26psc%3D1&qualifier=1663867115&id=4193143826758412&widgetName=sp_atf_next
"Zouk Women's Handcrafted Blue Printed Office and 15.6"" Laptop Bag","? 1,999",4.5 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08489052Q0M3O5MZBX0D&url=%2FWomens-Handcrafted-Printed-Office-Laptop%2Fdp%2FB09VZ4WZDF%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-18-spons%26psc%3D1%26smid%3DA2O6LU1SDI9NBB&qualifier=1663867115&id=4193143826758412&widgetName=sp_atf_next
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,? 709,4.3 out of 5 stars,"4,076",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_19?keywords=bags&qid=1663867115&smid=AXOGFIT0PZZ7G&sr=8-19
AirCase 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women,? 859,4.1 out of 5 stars,"1,392",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_20?keywords=bags&qid=1663867115&smid=A14CZOWI0VEHLG&sr=8-20
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,? 739,4.0 out of 5 stars,"9,545",https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_21?keywords=bags&qid=1663867115&smid=AXOGFIT0PZZ7G&sr=8-21
"POLESTAR Noble 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty",? 680,4.0 out of 5 stars,"16,475",https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_22?keywords=bags&qid=1663867115&sr=8-22
DEIN KLEIDER Men's Nylon Messenger Bag,? 325,4.0 out of 5 stars,"3,540",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_23?keywords=bags&qid=1663867115&sr=8-23
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",? 998,4.1 out of 5 stars,"5,554",https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_24?keywords=bags&qid=1663867115&smid=A3U5YRRS0YCBNE&sr=8-24
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,? 899,4.0 out of 5 stars,"3,798",https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_25?keywords=bags&qid=1663867115&sr=8-25
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags, Blue Light Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",? 799,4.0 out of 5 stars,845,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_26?keywords=bags&qid=1663867115&smid=AXOGFIT0PZZ7G&sr=8-26
ZAmaizoom Bags for 15.6-inch Casual Laptop Backpack,? 599,3.8 out of 5 stars,548,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06891563K3ZMI9MW6U7J&url=%2FZAmaizoom-15-6-inch-Casual-Laptop-Backpack%2Fdp%2FB08Y8KPVSV%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-27-spons%26psc%3D1&qualifier=1663867115&id=4193143826758412&widgetName=sp_mtf
Wenger Polyester 22 cms Black Messenger Bag (610180),"? 1,869",4.2 out of 5 stars,27,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03105213V4KCPAUDBMT5&url=%2FWenger-Polyester-Black-Messenger-610180%2Fdp%2FB084DNY2RB%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-28-spons%26psc%3D1&qualifier=1663867115&id=4193143826758412&widgetName=sp_mtf
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"? 1,631",4.5 out of 5 stars,"4,755",https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_29?keywords=bags&qid=1663867115&sr=8-29
"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",? 596,4.3 out of 5 stars,"7,535",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_30?keywords=bags&qid=1663867115&smid=A14CZOWI0VEHLG&sr=8-30
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),? 699,3.8 out of 5 stars,"1,237",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_31?keywords=bags&qid=1663867115&sr=8-31
"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)",? 999,3.8 out of 5 stars,791,https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_32?keywords=bags&qid=1663867115&smid=AXOGFIT0PZZ7G&sr=8-32
Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,? 639,4.0 out of 5 stars,"1,569",https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08679WRLW/ref=sr_1_33?keywords=bags&qid=1663867115&sr=8-33
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","? 1,264",4.2 out of 5 stars,602,https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_34?keywords=bags&qid=1663867115&sr=8-34
Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger Bag for Men Women (25x16x7.5cm) (Dark Grey),? 379,4.1 out of 5 stars,"7,395",https://www.amazon.in/Storite-Cross-Travel-Dark-Grey/dp/B07PFF4RYC/ref=sr_1_35?keywords=bags&qid=1663867115&smid=A3FPNGXJ2Z95CC&sr=8-35
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",? 899,4.0 out of 5 stars,559,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_36?keywords=bags&qid=1663867115&smid=AXOGFIT0PZZ7G&sr=8-36
"Artistix Axile three dimensional backpack, 30 Ltrs 46 cms, Foldable Travel cum Office Laptop Backpack, Anti theft bag","? 1,351",4.4 out of 5 stars,110,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03997481W421RNOQUF2L&url=%2FArtistix-Dimensional-Foldable-Backpack-Camouflage%2Fdp%2FB09HCPV1R9%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-37-spons%26psc%3D1&qualifier=1663867115&id=4193143826758412&widgetName=sp_btf
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"? 1,958",4.4 out of 5 stars,"10,549",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0248346ABG4W93SXTWK&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07CDD6YS2%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dbags%26qid%3D1663867115%26sr%3D8-38-spons%26psc%3D1%26smid%3DA20PVHIS8DLHRJ&qualifier=1663867115&id=4193143826758412&widgetName=sp_btf
"WENGER 604428 MARS 16 Inch Laptop Backpack Blue 46 Centimeters, M","? 2,940",4.5 out of 5 stars,2,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03107011G6LM90D2SAQY&url=%2FWENGER-604428-Laptop-Backpack-Centimeters%2Fdp%2FB07DKW5X1W%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-33-spons%26psc%3D1&qualifier=1663867118&id=2498949279361738&widgetName=sp_atf_next
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","? 6,300",3.6 out of 5 stars,11,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A104708310DL4BKR55BQ6&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-34-spons%26psc%3D1&qualifier=1663867118&id=2498949279361738&widgetName=sp_atf_next
"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large","? 1,545",4.3 out of 5 stars,"8,196",https://www.amazon.in/Wildcraft-Ltrs-orange-Rucksack-8903338073864/dp/B01G5I8YLC/ref=sr_1_35?keywords=bags&qid=1663867118&sr=8-35
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",? 699,4.2 out of 5 stars,"6,335",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_36?keywords=bags&qid=1663867118&smid=AXOGFIT0PZZ7G&sr=8-36
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),? 956,4.4 out of 5 stars,"4,296",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_37?keywords=bags&qid=1663867118&sr=8-37
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",? 637,4.0 out of 5 stars,"5,376",https://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_38?keywords=bags&qid=1663867118&sr=8-38
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)","? 1,400",4.3 out of 5 stars,47,https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B68Z3X7D/ref=sr_1_39?keywords=bags&qid=1663867118&sr=8-39
ADISA Laptop Backpack 31 Ltrs,? 499,4.0 out of 5 stars,"8,330",https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_40?keywords=bags&qid=1663867118&sr=8-40
"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments","? 1,176",4.1 out of 5 stars,"2,204",https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHKF2G7/ref=sr_1_41?keywords=bags&qid=1663867118&sr=8-41
DIVING DEEP Women Backpack Latest School Bag for Girls (Black),? 399,3.3 out of 5 stars,"1,311",https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_42?keywords=bags&qid=1663867118&sr=8-42
AMAIZO 34 Ltrs Laptop Bag (PAL-SON1_Black),? 599,5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06893126F2MU27LX0JP&url=%2FAmaizo-Strong-Waterproof-College-Students%2Fdp%2FB07YRMKD5V%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-43-spons%26psc%3D1&qualifier=1663867118&id=2498949279361738&widgetName=sp_mtf
AMAIZO 34 Ltrs Laptop Bag (PAL-SON1_American Blue),? 599,3.3 out of 5 stars,55,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A068965626QJ5SOFYH4P6&url=%2FAMAIZO-Amazing-Waterproof-Students-American%2Fdp%2FB07XKBGLHV%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-44-spons%26psc%3D1&qualifier=1663867118&id=2498949279361738&widgetName=sp_mtf
"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag college bags",? 689,3.7 out of 5 stars,415,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_45?keywords=bags&qid=1663867118&sr=8-45
Half Moon Curiosity Casual 35L Travel Laptop Backpack Water Resistant Slim Durable Fits 15.6 Inch Laptop Notebook with Rain cover (Navy Blue),? 999,3.8 out of 5 stars,105,https://www.amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_46?keywords=bags&qid=1663867118&sr=8-46
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L,? 549,3.5 out of 5 stars,5,https://www.amazon.in/Northzone-Lightweight-Backpacks-Stylish-College/dp/B0BCYX6DW2/ref=sr_1_47?keywords=bags&qid=1663867118&sr=8-47
"Spark Way Water Resistant College School Bag Laptop Bag, Travel Backpacks Laptop Bag for Women Men (Black Red)",? 272,No ratings given,Zero,https://www.amazon.in/Spark-Way-Resistant-College-Backpacks/dp/B0BBGR5634/ref=sr_1_48?keywords=bags&qid=1663867118&sr=8-48
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","? 1,499",4.3 out of 5 stars,308,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_49?keywords=bags&qid=1663867118&smid=A14CZOWI0VEHLG&sr=8-49
"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",? 159,4.3 out of 5 stars,"7,099",https://www.amazon.in/Amazon-Brand-Solimo-Backpack-litres/dp/B07FQMN9VN/ref=sr_1_50?keywords=bags&qid=1663867118&smid=AXOGFIT0PZZ7G&sr=8-50
Wesley 25 ltrs BACKPACK (Wes-khaki-Navyblue Navyblue ),? 496,4.3 out of 5 stars,"11,270",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_51?keywords=bags&qid=1663867118&smid=A14CZOWI0VEHLG&sr=8-51
"Mi Step Out 12 L Mini Backpack (Small Size, Sky Blue, Water Repellant)",? 149,4.2 out of 5 stars,"4,203",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088X9M73T/ref=sr_1_52?keywords=bags&qid=1663867118&smid=A14CZOWI0VEHLG&sr=8-52
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"? 1,958",4.4 out of 5 stars,"10,549",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02482583O96XK1QK60R9&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07BVSSMQT%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-53-spons%26psc%3D1%26smid%3DA20PVHIS8DLHRJ&qualifier=1663867118&id=2498949279361738&widgetName=sp_btf
ZAmaizoom Bags for 15.6-inch Casual Laptop Backpack,? 599,3.8 out of 5 stars,548,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A068961139HHUOAJJFOGQ&url=%2FZAmaizoom-15-6-inch-Casual-Laptop-Backpack%2Fdp%2FB08X3GXMM2%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dbags%26qid%3D1663867118%26sr%3D8-54-spons%26psc%3D1&qualifier=1663867118&id=2498949279361738&widgetName=sp_btf
"Zouk Women's Handcrafted Red Kalamkari Office and 15.6"" Laptop Bag","? 1,999",3.8 out of 5 stars,4,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0040549IR7K120P2ZDB&url=%2FWomens-Handcrafted-Kalamkari-Office-Laptop%2Fdp%2FB09T3MR14H%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dbags%26qid%3D1663867120%26sr%3D8-49-spons%26psc%3D1&qualifier=1663867120&id=586899011199934&widgetName=sp_atf_next
uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Pink),"? 1,100",5.0 out of 5 stars,6,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A01687832CZP8RFU62K03&url=%2Fuppercase-Backpack-1800EBP1-repellent-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dbags%26qid%3D1663867120%26sr%3D8-50-spons%26psc%3D1&qualifier=1663867120&id=586899011199934&widgetName=sp_atf_next
