Product Name,Price,Rating,No. of Reviews,Product Url
"ACTATIVE NEVER STOPS Unisex Medium Size Bag Stylish Laptop Backpack, Casual Daypacks Business Travel Rucksack Bag Water Resistant Ideal For Rainy Season For Men And Women, School College Students Bags For Boys And Girls With 2 Large Compartments - 39X25X49 CM","? 1,199",5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg18_1?ie=UTF8&adId=A03149541ZNIS0A9A08UO&url=%2FACTATIVE-NEVER-STOPS-Resistant-Compartments%2Fdp%2FB0B2F43DFC%2Fref%3Dsr_1_274_sspa%3Fkeywords%3Dbags%26qid%3D1663867160%26sr%3D8-274-spons%26psc%3D1&qualifier=1663867160&id=2813260552640711&widgetName=sp_atf_next
Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,? 499,4.0 out of 5 stars,"1,798",https://www.amazon.in/Backpack-Student-Computer-Business-Black-YellowZip/dp/B08R7PJZ65/ref=sr_1_275?keywords=bags&qid=1663867160&sr=8-275
Hp Trendsetter Backpack,"? 1,199",4.4 out of 5 stars,862,https://www.amazon.in/HP-Hp-Trendsetter-Backpack/dp/B01I1CH5L0/ref=sr_1_276?keywords=bags&qid=1663867160&sr=8-276
BAGELLO BAG Anti Theft Backpack Bag Hard Case15.6 Inch Laptop Business with USB Charging Port and Water Repellent Bag for Men Women (Grey),? 550,3.6 out of 5 stars,77,https://www.amazon.in/BAGELLO-Anti-Theft-Backpack-Repellent/dp/B09MHX1PZJ/ref=sr_1_277?keywords=bags&qid=1663867160&sr=8-277
Blowzy Bags PU Leather 15.6 inch Laptop Shoulder Messenger Sling Office Bag for Men & Women (Tan),? 599,4.0 out of 5 stars,781,https://www.amazon.in/Blowzy-Bags-Leather-Shoulder-Messenger/dp/B08M25YYRR/ref=sr_1_278?keywords=bags&qid=1663867160&sr=8-278
"POLESTAR Epic 30 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women, stylish & durable, 1 year warranty",? 659,3.1 out of 5 stars,141,https://www.amazon.in/POLESTAR-Backpack-compartment-suitable-warranty/dp/B09XTK33VB/ref=sr_1_279?keywords=bags&qid=1663867160&sr=8-279
ZIPLOC Polyester Adjustable Strap Baby Diaper Nappy Changing |Mother Handbag |Maternity Backpack,"? 1,199",4.5 out of 5 stars,"1,353",https://www.amazon.in/IFFOVERSEAS-ZIPLOC-Polyester-Adjustable-Diaper/dp/B08LVXRN82/ref=sr_1_280?keywords=bags&qid=1663867160&sr=8-280
Killer ENTIZO Traveller Sling Bag For 10 inches iPad/Tablet - Shoulder Side Sling Bag for Men,? 656,4.4 out of 5 stars,"1,715",https://www.amazon.in/Killer-Entizo-Traveler-Tablet-Shoulder/dp/B06XDBJ2PS/ref=sr_1_281?keywords=bags&qid=1663867160&sr=8-281
"AirCase Anti-Gravity Backpack for Men & Women, Weight Reducing 15.6” Laptop Bag for Travel & Office, Ergonomic Technology for Posture & Muscle Support, Patent Protected, in-Built Shock Absorber, Blue","? 3,999",5.0 out of 5 stars,4,https://www.amazon.in/AirCase-Anti-Gravity-Ergonomic-Technology-Protected/dp/B0B87NZC1H/ref=sr_1_282?keywords=bags&qid=1663867160&smid=A14CZOWI0VEHLG&sr=8-282
Shine star Premium 871 Satun Grey Convertible BACKPACK messenger bag shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits,"? 1,499",No ratings given,Zero,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A05506573J38U2953A1O2&url=%2FShine-star-Satun-Grey-Multi-functional%2Fdp%2FB09Y98JKQ4%2Fref%3Dsr_1_283_sspa%3Fkeywords%3Dbags%26qid%3D1663867160%26sr%3D8-283-spons%26psc%3D1&qualifier=1663867160&id=2813260552640711&widgetName=sp_mtf
EUME Virgo Polyester 29Ltr Laptop Backpack for Men & Women - Yellow Series,"? 1,098",4.2 out of 5 stars,450,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A028617811WTYYGGMHT9Z&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R58K6QX%2Fref%3Dsr_1_284_sspa%3Fkeywords%3Dbags%26qid%3D1663867160%26sr%3D8-284-spons%26psc%3D1%26smid%3DAPBFC7AMQ4Q38&qualifier=1663867160&id=2813260552640711&widgetName=sp_mtf
HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Red),"? 1,599",4.1 out of 5 stars,"3,447",https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N53TWB/ref=sr_1_285?keywords=bags&qid=1663867160&sr=8-285
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"? 1,476",4.2 out of 5 stars,"1,245",https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D2ZFX/ref=sr_1_286?keywords=bags&qid=1663867160&sr=8-286
Pagwin 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (PG-0025),? 499,3.5 out of 5 stars,59,https://www.amazon.in/Pagwin-ltrs-BACKPACK-INVALID-Black/dp/B09VZC6C8W/ref=sr_1_287?keywords=bags&qid=1663867160&sr=8-287
"TRAWOC 60 Ltr Travel Backpack Hiking Trekking Rucksack Bag, 1 Year Warranty, Navy Blue","? 1,895",4.3 out of 5 stars,"1,782",https://www.amazon.in/NOVICZ-Navy-Blue-Rucksack-HK004-TRAWOC-NAVYBLUE/dp/B0796PGYKS/ref=sr_1_288?keywords=bags&qid=1663867160&sr=8-288
Baggit Women's Handbag,? 567,3.8 out of 5 stars,89,https://www.amazon.in/Baggit-Womens-Bowling-Handbag-Pink/dp/B093L5291M/ref=sr_1_289?keywords=bags&qid=1663867160&smid=A1WYWER0W24N8S&sr=8-289
"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Blue (SNAP19CBBLU)",? 999,3.8 out of 5 stars,315,https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27GN41/ref=sr_1_290?keywords=bags&qid=1663867160&sr=8-290
Good Friends Stylish College Bags boy & Girl Waterproof Backpack (Black),? 399,3.8 out of 5 stars,628,https://www.amazon.in/Friends-Stylish-College-Waterproof-Backpack/dp/B08GJXGDK8/ref=sr_1_291?keywords=bags&qid=1663867160&sr=8-291
xcluma Baby Diaper Nappy Changing Baby Diaper Bag Mother Bag Mummy Bag Handbag (4 Pcs Set- Pink),? 899,4.3 out of 5 stars,"1,394",https://www.amazon.in/xcluma-Diaper-Changing-Mother-Handbag/dp/B07PFL5Z3W/ref=sr_1_292?keywords=bags&qid=1663867160&sr=8-292
BREEZO ™ 15.6 inches Fabulous Waterproof Laptop Backpack Bags Light Weight School Bag/Collage for Multi-Purpose uses,? 399,No ratings given,Zero,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A0957011KJY3Z3LV8WVR&url=%2FFabulous-Waterproof-Backpack-Collage-Multi-Purpose%2Fdp%2FB09HR32B38%2Fref%3Dsr_1_293_sspa%3Fkeywords%3Dbags%26qid%3D1663867160%26sr%3D8-293-spons%26psc%3D1&qualifier=1663867160&id=2813260552640711&widgetName=sp_btf
Shine star Premium 871 Satun blue Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits,"? 1,299",5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg18_1?ie=UTF8&adId=A05561733FYEFMVS6JBAU&url=%2FShine-star-Premium-Satun-Multi-functional%2Fdp%2FB09Y95BBM9%2Fref%3Dsr_1_294_sspa%3Fkeywords%3Dbags%26qid%3D1663867160%26sr%3D8-294-spons%26psc%3D1&qualifier=1663867160&id=2813260552640711&widgetName=sp_btf
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),? 749,3.9 out of 5 stars,992,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A02781663BXBAX0840AYZ&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB09T2MRRG3%2Fref%3Dsr_1_289_sspa%3Fkeywords%3Dbags%26qid%3D1663867163%26sr%3D8-289-spons%26psc%3D1&qualifier=1663867163&id=543177952977022&widgetName=sp_atf_next
"Blue Laptop Backpack 25 Bag for School, College and Office with USB Charging Port",? 799,No ratings given,Zero,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg19_1?ie=UTF8&adId=A0920899B6ZKK5XGU4OO&url=%2FLaptop-Backpack-School-College-Charging%2Fdp%2FB08KDSFG2F%2Fref%3Dsr_1_290_sspa%3Fkeywords%3Dbags%26qid%3D1663867163%26sr%3D8-290-spons%26psc%3D1&qualifier=1663867163&id=543177952977022&widgetName=sp_atf_next
"WALKENT Waterproof Anti-Theft 15.6 inch Laptop Bag 27L - Expandable, External USB for Office, College, Men Women","? 2,690",4.2 out of 5 stars,317,https://www.amazon.in/WALKENT-Craft-Laptop-Bag-Anti-Theft/dp/B0978JT5HR/ref=sr_1_291?keywords=bags&qid=1663867163&sr=8-291
Black Mirror Unisex Messenger Bag (Black),? 699,4.1 out of 5 stars,170,https://www.amazon.in/Black-Mirror-Messenger-Professionals-39x30x17CM/dp/B081WB3149/ref=sr_1_292?keywords=bags&qid=1663867163&sr=8-292
